"NUMBER","SPANISH","ENGLISH"
1,"animal","animal"
2,"comer","to eat"
3,"frijoles","beans"
4,"agua","water"
5,"mano","hand "
6,"ropa","clothes"
7,"árbol","tree"
8,"montaña","mountain"
9,"petate","straw mat"
10,"boca","mouth"
11,"hueso","bone"
12,"chile","chili"
13,"mujer","woman"
14,"cuerda","rope"
15,"camino","road"
16,"trabajo","work"
17,"cuarta","handspan"
18,"venir","to come"
19,"correr","to run"
20,"ser","to be"
21,"cantar","to sing"
22,"nascer","to be born"
23,"quemar","to burn"
24,"mirar","to look"
25,"beber","to drink"
26,"comprar","to buy"
27,"ahora","now"
28,"casa","house"
29,"ayer","yesterday"
30,"uno","one"
31,"papel","paper"
32,"silla","stool"
33,"limón","lime"
34,"tío","uncle"
35,"tía","aunt"
36,"rana","frog"
37,"pájaro","bird"
38,"pared","wall"
39,"pueblo","town"
40,"hermano","brother"
41,"agujero","hole"
42,"flor","flower"
43,"venado","deer"
44,"dentro","inside"
45,"perro","dog"
46,"estómago","stomach"
47,"hombre","man"
48,"palabra","word"
49,"olla","clay pot"
50,"metal","metal"
51,"carne","meat"
52,"hermano/a (genero diferente del ego)","cross-sex sibling"
53,"adobe","adobe"
54,"hijo","child"
55,"cuñada","sibling's wife"
56,"oreja","ear"
57,"diente","tooth"
58,"río","river"
59,"frío","cold"
60,"bueno","good"
61,"medicina","medicine"
62,"cuatro","four"
63,"día","day"
64,"algodón","cotton"
65,"culebra","snake"
66,"huarache","sandal"
67,"caña","cane"
68,"tortilla","tortilla"
69,"cabeza","head"
70,"comal","comal"
71,"jabón","soap"
72,"cara","face"
73,"maíz","corn"
74,"piedra","stone"
75,"luna","moon"
76,"ir","to go"
77,"peinar","comb"
78,"hermana","sister"
79,"cortar","to cut"
80,"hablar","to speak"
81,"año","year"
82,"sobrina","niece"
83,"sobrino","nephew"
84,"pie","foot"
85,"hierba","herb bush"
86,"hilo","thread"
87,"dulce","sweet"
88,"nueve","nine"
89,"dos","two"
90,"cinco","five"
91,"uña","fingernail"
92,"rata","rat"
93,"(guajolote) gallina","turkey hen"
94,"pescado","fish"
95,"negro","black"
96,"cuñado","sibling's husband"
97,"larga","long"
98,"grande","big (sg)"
99,"blanco","white"
100,"verde","green"
101,"chico","small (in pieces)"
102,"rojo","red"
103,"amarillo","yellow"
104,"pobre","poor"
105,"vender","to sell"
106,"oro","precious metal"
107,"nuevo","new"
108,"pequeño","little"
109,"gente","people"
110,"lengua","tongue"
